  ,filename,title,author,creator,date ,description,subject,location,latitude,longitude,geo_reference,source,identifier,type,format,language,rights,rightsstatement,
blackworld001,url,article title,,publication,year.month,summary of the article,tags,"city, state",,,author or subject,Google Books,year.month.page,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld002,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=false,Pamphlet/Manifesto Poetry,Carolyn Fowler,Johnson Publishing,1974.06,"Fowler ruminates on the best method of transmitting Black culture, whether it be the spoken or written word. ","AAVE, Civil Rights, Poetry","Atlanta, Georgia",33.75155685,-84.41121005,Author,Google Books,1974.06.4,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld003,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA20#v=onepage&q&f=false,Ishmael Reed on Ishmael Reed,Ishmael Reed,Johnson Publishing,1974.06,Author Ishmael Reed answers questions about his novels and his writing process.,"Black Novelists, Novels","Chattanooga, Tennesse ",35.04198553,-85.24145772,Subject,Google Books,1974.06.20,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld004,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA36#v=onepage&q&f=false,The Novels of Hal Bennett,Ronald Walcott,Johnson Publishing,1974.06,"Walcott writes about Novelist Hal Bennett, and how Bennett tackles satire and race in his books. ","Black Novelists, Novels","New York City, New York",40.66785978,-73.91521112,Subject,Google Books,1974.06.36,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld005,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA49#v=onepage&q&f=false,Perspectives,Ruth Rambo McClain,Johnson Publishing,1974.06,"Various Updates on African American Arts, including novels, theatre, film, etc. ","Black History, Black Theatre, Black Film, Black Novelists","South Orange, NJ",40.74882552,-74.26308256,Author,Google Books,1974.06.49,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld006,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA51#v=onepage&q&f=false,Books Noted,Clyde Taylor,Johnson Publishing,1974.06,A Collection of Book Reviews for the following books: Sula by Toni Morrison and The Boar Hog Woman by Cleo Overstreet.,"Black Novelists, Novels, Book Review","Berkeley, California",37.8701298,-122.2595464,,Google Books,1974.06.51,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld007,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA53#v=onepage&q&f=false,The Ear of the Behearer,Roger Riggins,Johnson Publishing,1974.06,A review of jazz album 'The Ear of the Behearer' by Dewey Redman,"Jazz, Black Musicians","New York City, New York",40.66785978,-73.91521112,,Google Books,1974.06.53,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld008,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA54#v=onepage&q&f=false,The Long Night,Toni Cade Bambara,Johnson Publishing,1974.06,A short suspense story about a Black woman hiding from the police,"Short Story, Suspense, Police Violence","Newark, New Jersey",40.74163324,-74.1741891,,Google Books,1974.06.54,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld009,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA61#v=onepage&q&f=false,"For You, There is Only Dancing",Richard H Perry,Johnson Publishing,1974.06,A short story about a father and son going fishing together. ,Short Story,"New York City, New York",40.66785978,-73.91521112,,Google Books,1974.06.61,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld010,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA67#v=onepage&q&f=false,"(""Pole"" is a word of condolence in Swahili that one man gives another at the death of a loved one)",Sharleen Dickenson,Johnson Publishing,1974.06,A poem about death.,"Poetry, Swahili Culture, Death Practices.",,,,,Google Books,1974.06.67,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld011,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA68#v=onepage&q&f=false,"Never Show Your Feelings, Boy",Leonard J. Guardine,Johnson Publishing,1974.06,A short story about a young boy and his fraught relationship with his grandfather in New York City.,Short Story,"New York City, New York",40.66785978,-73.91521112,,Google Books,1974.06.68,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld012,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA72#v=onepage&q&f=false,Give Us This Day,Alice Reid,Johnson Publishing,1974.06,A short story about a man named Shad Harris' day and his experience almsot being mugged.,Short Story,"Oakland, California",37.79538478,-122.2628275,,Google Books,1974.06.72,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld013,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA77#v=onepage&q&f=false,Table Talk,Everett Hoagland,Johnson Publishing,1974.06,A short story about gorillas being a metaphor for racial stereotypes.,Short Story,"Dartmouth, Massachusetts",41.6270886,-71.00547652,,Google Books,1974.06.76,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld014,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PA86#v=onepage&q&f=false,Living Black Authors,James C. Kilgore,Johnson Publishing,1974.06,A book review of the biography Living Black Authors by Ann Allen Shockley and Sue P. Chandler,"Book Review, Black Writers","Highland Hills, Ohio",41.4466488,-81.50270367,,Google Books,1974.06.86,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld015,https://books.google.com/books?id=rjkDAAAAMBAJ&lpg=PA1&pg=PT1#v=onepage&q&f=false,When is a Black Man Not an African?,,Johnson Publishing,1974.06,"A anonymous piece reflecting on African Americans connection to Africa, and how the Trans-Atlantic Slave Trade interupted that","History, Trans-Atlantic Slavery Trade, Afro-Centrism",,,,,Google Books,1974.06.100,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld016,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=false,An Interview with Thomas Dorsey,"Thomas Dorsey, Alfred Duckett",Johnson Publishing,1974.07,"An interview with legendary gospel singer Thomas Dorsey, about his life and music","Gospel, Black Musicians","Chicago, Illinois",41.88235766,-87.61530771,,Google Books,1974.07.4,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
